Al2O3,CaO,MgO,SiO2,Tliq.C
25.94592,43.66848,6.999537,23.38607,1503
25.15454,45.78502,4.530953,24.52949,1522
25.90388,45.64931,4.000349,24.44645,1545
31.89194,41.74638,3.997877,22.3638,1545
35.5545,39.35991,3.999161,21.08642,1523
25.32196,46.97888,2.542024,25.15714,1536
24.75925,42.91848,9.343874,22.9784,1428
17.02367,8.843672,24.60923,49.52343,1390
22.62122,9.677754,6.732557,60.96846,1397
13.17755,9.127521,6.349773,71.34515,1313
9.056174,17.89322,8.094915,64.95569,1218
9.18134,14.51155,10.93025,65.37685,1273
2.843612,46.53293,7.193716,43.42974,1417
2.787216,40.54227,14.10209,42.56842,1397
2.733013,34.78462,20.74177,41.74059,1397
2.773158,47.90112,14.03096,35.29476,1617
26.68863,56.4852,1.250303,15.57587,1520
24.14823,55.25362,1.029602,19.56854,1515
22.77644,55.57391,1.324584,20.32507,1550
12.20441,13.31421,12.34979,62.13158,1318
9.04532,21.92856,7.627558,61.39857,1232
8.887142,10.77255,14.98835,65.35196,1332
18.94794,11.48387,15.97804,53.59016,1380
15.85797,11.53334,8.02344,64.58525,1360
11.55935,5.254373,29.24262,53.94366,1344
12.31931,22.39927,7.791286,57.49014,1349
5.906099,21.47723,7.470569,65.14611,1340
2.493791,24.6466,22.67629,50.18333,1368
4.074373,25.01379,20.93796,49.97388,1343
9.011173,25.00767,15.98258,49.99858,1274
10.93787,25.0005,14.06177,49.99986,1323
13.46543,25.00645,11.52526,50.00286,1388
16.11992,25.00175,8.87141,50.00692,1438
18.92091,25.00397,6.073009,50.00211,1488
11.85358,56.03644,11.99479,20.11519,1595
12.66409,59.71377,6.131554,21.49059,1630
11.07779,52.51659,17.60694,18.79868,1590
12.56628,59.5996,12.74596,15.08816,1605
11.10874,52.51526,11.24107,25.13494,1575
10.27221,61.90155,10.39458,17.43165,1630
2.879353,28.27067,7.284132,61.56584,1290
2.867603,27.11252,8.705288,61.3146,1290
2.861633,30.17793,8.687164,58.27328,1280
2.859648,31.19689,8.681139,57.26232,1301
2.842169,33.07328,10.06609,54.01846,1321
2.838256,35.09199,10.05223,52.01752,1327
2.804275,31.61257,14.1884,51.39475,1327
2.796668,35.59479,14.14991,47.45863,1320
2.805932,37.75343,12.77711,46.66353,1331
2.772717,34.28167,16.83448,46.11115,1331
2.740278,30.89113,20.79691,45.57168,1323
2.738458,31.86645,20.7831,44.612,1338
2.813338,40.92223,11.3874,44.87703,1355
2.830207,46.31357,8.591765,42.26446,1342
2.763426,39.19132,16.77807,41.26719,1397
2.679137,30.20189,27.11051,40.00846,1402
2.619219,23.81164,34.45546,39.11369,1503
2.687637,32.25241,25.83671,39.22324,1389
2.83579,50.52981,7.173927,39.46047,1463
2.673925,33.06021,27.05778,37.20809,1435
2.799966,47.85508,11.33328,38.01168,1473
2.745271,41.92875,18.05683,37.26915,1441
2.713468,38.48281,21.96633,36.8374,1459
2.680649,36.06776,25.76953,35.48207,1449
2.640358,31.68505,30.72583,34.94877,1480
2.720392,41.54878,20.64599,35.08484,1495
2.667007,36.85405,26.98777,33.49116,1524
2.704569,43.27412,21.89429,32.12702,1589
5.820216,21.16492,11.7791,61.23577,1277
5.955595,31.40296,3.01327,59.62817,1295
5.856324,26.62028,8.889131,58.63427,1269
5.760309,21.99442,14.57232,57.67295,1288
5.667391,17.5178,20.07216,56.74265,1292
5.848019,28.70913,8.876523,56.56632,1269
5.795675,27.39838,11.72943,55.07651,1293
5.839737,30.79206,8.863953,54.50425,1269
5.720877,24.96441,15.91982,53.39489,1311
5.606759,19.36926,22.69419,52.32978,1319
5.859937,33.02951,7.412179,53.69837,1293
5.551145,20.18645,25.27772,48.98468,1353
5.921386,39.83571,2.995962,51.24693,1400
5.823244,34.94028,8.838918,50.39756,1305
5.705047,29.04456,15.87577,49.37462,1309
5.591554,23.38341,22.63265,48.39239,1324
5.767304,34.60464,11.67201,47.95604,1273
5.536239,24.1587,25.20985,45.09521,1369
5.904429,44.01587,2.987382,47.09232,1382
5.806843,39.06513,8.814024,46.314,1328
5.735744,35.45816,13.05916,45.74694,1293
5.689305,33.10219,15.83196,45.37654,1301
5.576431,27.37585,22.57144,44.47629,1329
5.467948,21.8723,29.04869,43.61105,1427
5.731758,36.47568,13.05008,44.74248,1318
5.891774,47.1353,2.980979,43.99194,1352
5.770809,40.92124,10.21922,43.08873,1336
5.65471,34.95721,17.16621,42.22186,1351
5.587266,31.49261,21.20184,41.71828,1343
5.543191,29.22842,23.8392,41.38919,1348
5.435986,23.72122,30.25407,40.58872,1444
5.550406,30.78025,23.16817,40.50117,1335
5.879174,50.2414,2.974605,40.90483,1319
5.75872,43.97672,10.19781,40.06676,1360
5.643103,37.96358,17.13098,39.26234,1379
5.532036,32.18715,23.79123,38.48959,1355
5.850529,49.9966,4.440166,39.7127,1350
5.485174,30.91716,26.36495,37.23272,1395
5.846381,51.02416,4.437019,38.69244,1420
